x,y,z
0.71323508024,20.511365891,-5.8071460724
0.39350831509,19.974206924,-6.1869626045
-0.013081752695,19.45675087,-6.3679556847
-0.48462298512,18.960975647,-6.3836188316
-0.99955642223,18.489116669,-6.2678833008
-1.5373394489,18.043870926,-6.0559010506
-2.0792586803,17.62861824,-5.7850575447
-2.6094036102,17.247150421,-5.4955482483
-3.1150362492,16.902849197,-5.2296247482
-3.5868442059,16.597162247,-5.0289139748
-4.0189146996,16.328062057,-4.9297909737
-4.4086990356,16.088832855,-4.9579668045
-4.7572898865,15.867809296,-5.123483181
-5.0691065788,15.649313927,-5.4189376831
-5.350935936,15.415355682,-5.8208045959
-5.6101379395,15.14778614,-6.2936062813
-5.8523445129,14.830722809,-6.7969446182
-6.0796718597,14.452738762,-7.2928991318
-6.2901492119,14.008525848,-7.7520928383
-6.4783277512,13.499770164,-8.1572847366
-6.6367516518,12.934740067,-8.5041379929
-6.7575211525,12.326696396,-8.7994289398
-6.8334827423,11.691482544,-9.0576066971
-6.8591685295,11.044705391,-9.2966623306
-6.8313574791,10.39942646,-9.5343704224
-6.749610424,9.76466465,-9.7854642868
-6.6163434982,9.1447677612,-10.059995651
-6.4365882874,8.5400371552,-10.362713814
-6.2173609734,7.9485969543,-10.693054199
-5.9663853645,7.3678402901,-11.045239449
-5.6907024384,6.796295166,-11.408186913
-5.3954277039,6.2355246544,-11.765465736
-5.0830430984,5.6902580261,-12.095502853
-4.7538566589,5.1687102318,-12.372825623
-4.4074773788,4.6805844307,-12.570410728
-4.0449109077,4.2365446091,-12.663236618
-3.6705844402,3.8456330299,-12.632236481
-3.2933113575,3.51466465,-12.467372894
-2.9256021976,3.247440815,-12.169508934
-2.5820057392,3.0447950363,-11.750579834
-2.2769002914,2.9054269791,-11.231508255
-2.0227696896,2.8253824711,-10.638776779
-1.8295004368,2.7986011505,-10.000329971
-1.7040042877,2.8170471191,-9.3415412903
-1.6498657465,2.8713490963,-8.6821136475
-1.6668002605,2.951590538,-8.0344371796
-1.7501041889,3.0489523411,-7.4034976959
-1.8909267187,3.1553242207,-6.788257122
-2.077739954,3.2629008293,-6.1839537621
-2.298869133,3.3628726006,-5.5850977898
-2.5449807644,3.443603754,-4.9882998466
-2.8103437424,3.4908006191,-4.394302845
-3.0922186375,3.487830162,-3.8087544441
-3.3881924152,3.4187221527,-3.2415423393
-3.6929452419,3.2699787617,-2.7051193714
-3.9956068993,3.0330274105,-2.2121226788
-4.2792420387,2.7055900097,-1.7731410265
-4.5229535103,2.291960001,-1.3947333097
-4.7061223984,1.8019267321,-1.0782841444
-4.8133411407,1.2494090796,-0.81953275204
-4.8385643959,0.65039658546,-0.60900813341
-4.7872314453,0.020407484844,-0.43311738968
-4.6756839752,-0.62670630217,-0.27602636814
-4.5278272629,-1.2805745602,-0.12195084989
-4.3699989319,-1.9348937273,0.042545821518
-4.2256426811,-2.5874409676,0.22659248114
-4.1110277176,-3.2396337986,0.43398183584
-4.0326776505,-3.8950526714,0.66294831038
