x,y,z
-1.5813089609,14.236880302,-7.0225105286
-1.8497952223,13.730710983,-6.9130129814
-2.158721447,13.200051308,-6.8034911156
-2.5039832592,12.665201187,-6.6995725632
-2.88108325,12.146020889,-6.6071777344
-3.2843241692,11.661025047,-6.5330796242
-3.7056367397,11.225587845,-6.4857058525
-4.1335411072,10.849694252,-6.4757657051
-4.5529470444,10.535797119,-6.5160951614
-4.9465312958,10.277820587,-6.6201033592
-5.2977185249,10.062353134,-6.79874897
-5.5945830345,9.8715105057,-7.0567688942
-5.833088398,9.6866931915,-7.3897504807
-6.0180430412,9.4918813705,-7.7836880684
-6.1611671448,9.2759103775,-8.2176761627
-6.2763915062,9.0341854095,-8.6691389084
-6.3742747307,8.7697849274,-9.1197156906
-6.4573993683,8.493303299,-9.559715271
-6.5186610222,8.2202377319,-9.9889392853
-6.542722702,7.9657211304,-10.413789749
-6.5102119446,7.7380924225,-10.841714859
-6.403137207,7.5340862274,-11.275458336
-6.2098112106,7.3379545212,-11.709513664
-5.928273201,7.1253442764,-12.129608154
-5.5673685074,6.8709640503,-12.515331268
-5.1460418701,6.5574493408,-12.844215393
-4.6912269592,6.1825356483,-13.096036911
-4.234916687,5.762319088,-13.256025314
-3.8108801842,5.3299021721,-13.316559792
-3.4511406422,4.9290075302,-13.277305603
-3.1823863983,4.6042366028,-13.144033432
-3.0226156712,4.3901519775,-12.926805496
-2.9784245491,4.3022484779,-12.637759209
-3.0438423157,4.3326764107,-12.288989067
-3.2013232708,4.4527087212,-11.890954018
-3.4248228073,4.6210708618,-11.451809883
-3.6842889786,4.7953982353,-10.977772713
-3.9503381252,4.94282341,-10.474265099
-4.1980319023,5.0459547043,-9.9470386505
-4.4092278481,5.1028256416,-9.4029283524
-4.573331356,5.1218237877,-8.8498764038
-4.6869058609,5.114593029,-8.2962141037
-4.7522397041,5.0899386406,-7.7493901253
-4.7750954628,5.0510649681,-7.2144546509
-4.7621712685,4.9965376854,-6.6928715706
-4.7189741135,4.9239592552,-6.1822681427
-4.6490745544,4.8337397575,-5.677318573
-4.5545148849,4.7305088043,-5.1716079712
-4.4368796349,4.6210198402,-4.6600122452
-4.2980079651,4.5097980499,-4.1411175728
-4.1400666237,4.3949351311,-3.6188137531
-3.9653830528,4.2663340569,-3.1026186943
-3.7768855095,4.1074509621,-2.6062922478
-3.5797054768,3.8998501301,-2.1448769569
-3.3834497929,3.628493309,-1.7311588526
-3.2033288479,3.2859830856,-1.3726190329
-3.0589141846,2.8742938042,-1.0699276924
-2.9701714516,2.4034647942,-0.81739550829
-2.952255249,1.8890391588,-0.60476773977
-3.0109493732,1.3475273848,-0.41964447498
-3.140598774,0.79308086634,-0.2495649457
-3.3251416683,0.23527255654,-0.083306863904
-3.5419414043,-0.32170286775,0.088641114533
-3.7667412758,-0.87747317553,0.27408546209
