x,y,z
-4.9784536362,19.903528214,-7.0316209793
-5.0599579811,19.323724747,-6.7619976997
-5.1971178055,18.767759323,-6.6022834778
-5.3874635696,18.242162704,-6.5311183929
-5.6284599304,17.753311157,-6.5271582603
-5.9173841476,17.307088852,-6.5692334175
-6.2511529922,16.908330917,-6.6367983818
-6.6261296272,16.560041428,-6.7109236717
-7.0380072594,16.262578964,-6.7758975029
-7.4817991257,16.013088226,-6.821103096
-7.951842308,15.805280685,-6.8426437378
-8.4418125153,15.629610062,-6.8442254066
-8.9447364807,15.473934174,-6.8368186951
-9.4527254105,15.324642181,-6.8364825249
-9.9566955566,15.168083191,-6.8610467911
-10.446071625,14.992060661,-6.9267272949
-10.908644676,14.787286758,-7.0453767776
-11.330780983,14.548717499,-7.222928524
-11.698080063,14.276316643,-7.4594597816
-11.996628761,13.975008011,-7.7503757477
-12.214522362,13.653831482,-8.0878505707
-12.343437195,13.324320793,-8.4622211456
-12.380042076,12.998268127,-8.8630971909
-12.32667923,12.685281754,-9.2800006866
-12.19098568,12.390790939,-9.7027788162
-11.984632492,12.114940643,-10.121681213
-11.721499443,11.852492332,-10.527371407
-11.415615082,11.593765259,-10.910987854
-11.079192162,11.326591492,-11.264176369
-10.72159481,11.038708687,-11.579256058
-10.349271774,10.720103264,-11.849417686
-9.9665164948,10.364989281,-12.068868637
-9.5768547058,9.973241806,-12.232851028
-9.1847286224,9.5512075424,-12.33752346
-8.7968292236,9.1113443375,-12.379667282
-8.4226236343,8.6714677811,-12.356492043
-8.0739936829,8.2530879974,-12.265649796
-7.7639398575,7.8787679672,-12.105522156
-7.5043349266,7.5689206123,-11.875872612
-7.3034057617,7.3386492729,-11.578670502
-7.1635770798,7.1942505836,-11.218833923
-7.0804190636,7.1313529015,-10.804574013
-7.0430884361,7.1347131729,-10.347211838
-7.0364027023,7.1791820526,-9.8604440689
-7.0443339348,7.2339687347,-9.3590688705
-7.0536141396,7.2672200203,-8.8573846817
-7.0563035011,7.2508955002,-8.3676376343
-7.0508890152,7.1649227142,-7.8986430168
-7.0417046547,6.9996156693,-7.4547519684
-7.0365567207,6.75644207,-7.0357680321
-7.0435152054,6.4457411766,-6.6379652023
-7.067606926,6.0837087631,-6.2559361458
-7.108092308,5.6888308525,-5.8848848343
-7.1569805145,5.2780079842,-5.5227885246
-7.1994247437,4.8637609482,-5.1715712547
-7.216199398,4.4536099434,-4.8367195129
-7.1874485016,4.0507364273,-4.5255265236
-7.0968341827,3.6553423405,-4.2445530891
-6.9352908134,3.2663366795,-3.996940136
-6.7036056519,2.8829877377,-3.7803432941
-6.4127559662,2.5054144859,-3.5864500999
-6.0824303627,2.1343920231,-3.4020748138
-5.7380428314,1.7706959248,-3.2115163803
-5.4066543579,1.414229393,-2.9997799397
-5.1123170853,1.0632740259,-2.7561261654
