x,y,z
-5.7112884521,20.328840256,-2.37854743
-5.7235593796,19.933296204,-2.8061733246
-5.837934494,19.492904663,-3.1393647194
-6.0340132713,19.015844345,-3.3948867321
-6.2916378975,18.510278702,-3.5895419121
-6.591334343,17.984352112,-3.7401788235
-6.9149222374,17.446157455,-3.8637182713
-7.2461485863,16.903671265,-3.977086544
-7.5711517334,16.364599228,-4.0968966484
-7.8787021637,15.836168289,-4.2388935089
-8.1601371765,15.324697495,-4.416934967
-8.4090471268,14.835240364,-4.6417856216
-8.6207685471,14.371246338,-4.9201512337
-8.7918710709,13.934400558,-5.2540793419
-8.9197301865,13.524670601,-5.640868187
-9.0021905899,13.140454292,-6.0737280846
-9.0373106003,12.778905869,-6.5431346893
-9.0233678818,12.436285973,-7.0383453369
-8.9589643478,12.108252525,-7.5488705635
-8.8432893753,11.790006638,-8.0655403137
-8.6765460968,11.476353645,-8.5810279846
-8.4605474472,11.16172123,-9.0898885727
-8.1994457245,10.840303421,-9.5881729126
-7.9004864693,10.506461143,-10.072695732
-7.574464798,10.15517807,-10.540172577
-7.2356286049,9.7827758789,-10.986078262
-6.9009804726,9.3873748779,-11.403637886
-6.5890302658,8.9692716599,-11.783098221
-6.3181586266,8.5313606262,-12.111570358
-6.1048979759,8.07924366,-12.37385273
-5.9624614716,7.620619297,-12.554192543
-5.8997030258,7.1653513908,-12.638607025
-5.9206762314,6.7246956825,-12.617491722
-6.0248150826,6.3105812073,-12.487818718
-6.2074141502,5.9348607063,-12.253917694
-6.4602646828,5.6084709167,-11.927044868
-6.7724542618,5.3409190178,-11.524303436
-7.1310510635,5.1399741173,-11.065890312
-7.5216012001,5.0116415024,-10.572433472
-7.928481102,4.9602131844,-10.06248188
-8.3352470398,4.9879164696,-9.5505037308
-8.7250804901,5.094408989,-9.0456895828
-9.0813741684,5.2761864662,-8.5517053604
-9.3884553909,5.5258016586,-8.067281723
-9.6325016022,5.8315176964,-7.5874300003
-9.8026132584,6.1769838333,-7.1052885056
-9.8917264938,6.5419631004,-6.6141319275
-9.8972740173,6.9032158852,-6.1092977524
-9.8213739395,7.2356672287,-5.5897612572
-9.6705055237,7.5142869949,-5.0591096878
-9.4547939301,7.7162280083,-4.5258383751
-9.1868782043,7.8222360611,-4.0029687881
-8.880739212,7.8189492226,-3.5069608688
-8.5503787994,7.6996250153,-3.056166172
-8.2087011337,7.4647817612,-2.6689581871
-7.8667945862,7.1220965385,-2.3616538048
-7.533633709,6.6852073669,-2.1464602947
-7.2161273956,6.1722917557,-2.0298156738
-6.9195189476,5.6043024063,-2.0113575459
-6.6476917267,5.0028395653,-2.083581686
-6.4033727646,4.3885054588,-2.2321822643
-6.1880588531,3.7792942524,-2.4370315075
-6.0017433167,3.1895039082,-2.6736683846
-5.8425779343,2.6290590763,-2.9152035713
