x,y,z
-3.2611415386,19.769887924,-3.7604634762
-3.2979295254,19.02331543,-4.2302565575
-3.4686207771,18.238389969,-4.5204620361
-3.7448925972,17.431615829,-4.6928920746
-4.0984034538,16.619344711,-4.8083958626
-4.5009555817,15.817509651,-4.9245047569
-4.9249711037,15.041028976,-5.0915141106
-5.3443398476,14.303084373,-5.3475699425
-5.7354154587,13.614449501,-5.7145752907
-6.0779371262,12.98285675,-6.1959571838
-6.3551082611,12.41234684,-6.7779359818
-6.5527648926,11.902647972,-7.4337387085
-6.6583485603,11.448710442,-8.1303977966
-6.6608514786,11.040620804,-8.8362255096
-6.5525465012,10.664038658,-9.5271921158
-6.3316121101,10.301669121,-10.190594673
-6.0040435791,9.9358901978,-10.825685501
-5.5833768845,9.5517396927,-11.440727234
-5.0883727074,9.1391296387,-12.046751022
-4.53972435,8.692492485,-12.649342537
-3.95758605,8.2104911804,-13.241153717
-3.3609032631,7.6947240829,-13.79795742
-2.7687153816,7.1498327255,-14.280292511
-2.2023332119,6.5849246979,-14.640613556
-1.6870509386,6.0144371986,-14.833883286
-1.2519749403,5.4577693939,-14.829260826
-0.92727035284,4.9374489784,-14.618582726
-0.73931992054,4.4755167961,-14.218550682
-0.70520663261,4.0901069641,-13.665891647
-0.82859754562,3.7916412354,-13.008016586
-1.0980732441,3.5808618069,-12.291296005
-1.4886339903,3.446969986,-11.552540779
-1.965980649,3.3688907623,-10.815038681
-2.4927458763,3.3194131851,-10.089678764
-3.0350334644,3.2723586559,-9.3798131943
-3.567948103,3.2119247913,-8.6873102188
-4.0788555145,3.1399333477,-8.01811409
-4.5682120323,3.0785293579,-7.3855762482
-5.0471668243,3.0674505234,-6.8102698326
-5.5318307877,3.1530973911,-6.3154273033
-6.0361623764,3.3749024868,-5.9195957184
-6.5655937195,3.751408577,-5.6287784576
-7.1133499146,4.2724914551,-5.431427002
-7.6597075462,4.8990364075,-5.2978625298
-8.1743841171,5.571003437,-5.184445858
-8.621594429,6.21997118,-5.0416622162
-8.9669055939,6.7832798958,-4.8240427971
-9.1842279434,7.2156729698,-4.4997267723
-9.2605924606,7.4943137169,-4.0567269325
-9.1970119476,7.6176943779,-3.5043077469
-9.0057287216,7.5977048874,-2.8701066971
-8.7050209045,7.4529733658,-2.1930353642
-8.3136949539,7.2020492554,-1.5135827065
-7.8478350639,6.8630914688,-0.86510717869
-7.320204258,6.4550189972,-0.26794275641
-6.7414016724,5.9987001419,0.27174571157
-6.1218910217,5.517100811,0.75813466311
