x,y,z
-4.9955997467,19.50642395,-5.3454713821
-4.9739961624,18.756174088,-5.1929860115
-5.0828757286,18.040023804,-5.048740387
-5.3043766022,17.359926224,-4.9225931168
-5.6205120087,16.717769623,-4.8243498802
-6.0129079819,16.115283966,-4.7636408806
-6.4625124931,15.553840637,-4.7496905327
-6.9493899345,15.034208298,-4.790971756
-7.4527001381,14.556360245,-4.8947339058
-7.9511375427,14.119197845,-5.0664048195
-8.4236660004,13.720292091,-5.3088746071
-8.850487709,13.355649948,-5.6217470169
-9.2140331268,13.01953125,-6.0007343292
-9.4998636246,12.704548836,-6.4373893738
-9.6974334717,12.402282715,-6.9193987846
-9.8005428314,12.104390144,-7.431593895
-9.8075551987,11.804135323,-7.95759058
-9.7213115692,11.497617722,-8.4817075729
-9.5488605499,11.184386253,-8.9908447266
-9.3009634018,10.867200851,-9.4759645462
-8.9913377762,10.551002502,-9.9330062866
-8.6356430054,10.24150753,-10.363183975
-8.2501478195,9.9439086914,-10.772548676
-7.8503146172,9.6619777679,-11.170859337
-7.4493694305,9.3977804184,-11.570026398
-7.0570669174,9.1517095566,-11.982254982
-6.678812027,8.9225387573,-12.417975426
-6.3152861595,8.707116127,-12.883798599
-5.9627981186,8.4997053146,-13.380882263
-5.6145849228,8.2924385071,-13.904040337
-5.2625780106,8.0754079819,-14.441785812
-4.8995199203,7.8374643326,-14.977180481
-4.520960331,7.567820549,-15.489232063
-4.1266317368,7.2579507828,-15.954739571
-3.7209103107,6.9033303261,-16.350421906
-3.3122775555,6.504942894,-16.654794693
-2.911819458,6.0700130463,-16.850030899
-2.5313520432,5.6120972633,-16.923446655
-2.1816215515,5.1495022774,-16.868610382
-1.8708205223,4.7030391693,-16.686086655
-1.6036651134,4.2936420441,-16.383525848
-1.3811873198,3.9394261837,-15.974664688
-1.2010238171,3.6538758278,-15.477920532
-1.0583227873,3.4448103905,-14.914427757
-0.94690990448,3.3144493103,-14.305588722
-0.86051189899,3.2604346275,-13.670946121
-0.79395443201,3.277184248,-13.026668549
-0.74422669411,3.3571326733,-12.384561539
-0.71121114492,3.4918067455,-11.751832008
-0.69786852598,3.6719768047,-11.131737709
-0.70982462168,3.8880512714,-10.524512291
-0.7546132803,4.1302490234,-9.9285058975
-0.84062868357,4.3884558678,-9.341340065
-0.97588962317,4.6520862579,-8.7608633041
-1.1668308973,4.9099459648,-8.1858520508
-1.4173023701,5.1494135857,-7.61632061
-1.7278351784,5.3567261696,-7.0536694527
-2.0953240395,5.5174574852,-6.5006980896
-2.5131485462,5.6172027588,-5.9614815712
-2.9715874195,5.6428399086,-5.4411382675
-3.4583461285,5.5840625763,-4.9455037117
-3.959123373,5.4343514442,-4.4806466103
-4.4582386017,5.1916489601,-4.0522613525
-4.9391517639,4.8582129478,-3.6650378704
-5.3850464821,4.4403362274,-3.3219609261
-5.7795410156,3.9474098682,-3.0236954689
-6.1075615883,3.3909332752,-2.7681427002
-6.3564119339,2.7840898037,-2.5501694679
-6.5169634819,2.1408548355,-2.3615982533
-6.5845112801,1.4757435322,-2.191598177
-6.5591988564,0.80365598202,-2.0273962021
