x,y,z
-0.16447275877,19.253646851,-3.2501573563
-0.3655591011,18.540710449,-3.4189903736
-0.64795953035,17.867349625,-3.53241539
-0.9976734519,17.232740402,-3.5916259289
-1.4007693529,16.636068344,-3.5981926918
-1.8436478376,16.076498032,-3.5548284054
-2.3136086464,15.553215027,-3.4666879177
-2.799710989,15.065464973,-3.3429710865
-3.2935056686,14.612394333,-3.1983337402
-3.789270401,14.192639351,-3.0534260273
-4.2833514214,13.80378437,-2.933914423
-4.7726264,13.441853523,-2.8676772118
-5.2522697449,13.101270676,-2.8805997372
-5.7139825821,12.775375366,-2.99249053
-6.145046711,12.457653046,-3.2141051292
-6.529042244,12.143151283,-3.5460240841
-6.848028183,11.829458237,-3.9794661999
-7.0857415199,11.516945839,-4.4981422424
-7.2306218147,11.208180428,-5.0807313919
-7.2780065536,10.906991005,-5.7037067413
-7.2309980392,10.617378235,-6.3442525864
-7.0997400284,10.342411041,-6.9828486443
-6.8994083405,10.083154678,-7.6051325798
-6.647339344,9.8377571106,-8.2027359009
-6.3597955704,9.6010694504,-8.7729644775
-6.0490908623,9.3649148941,-9.3176746368
-5.7220759392,9.11876297,-9.8414621353
-5.3805837631,8.8510570526,-10.349806786
-5.0237951279,8.5506410599,-10.847132683
-4.6514706612,8.2075862885,-11.335074425
-4.2666544914,7.8153824806,-11.810677528
-3.8768939972,7.3712935448,-12.264942169
-3.4936976433,6.8780703545,-12.681913376
-3.130614996,6.3447990417,-13.038976669
-2.8005716801,5.7874836922,-13.308927536
-2.5135157108,5.2283215523,-13.463559151
-2.2748808861,4.6937952042,-13.47908783
-2.0853903294,4.2119598389,-13.340914726
-1.9420098066,3.8085482121,-13.04783535
-1.8398412466,3.5027015209,-12.613220215
-1.7741829157,3.3043832779,-12.063129425
-1.7421420813,3.2123646736,-11.431857109
-1.7433191538,3.2143213749,-10.756152153
-1.7793679237,3.2893745899,-10.069475174
-1.8528860807,3.4106740952,-9.397397995
-1.9660599232,3.5491547585,-8.7550783157
-2.1195020676,3.6764881611,-8.1468448639
-2.311604023,3.7677521706,-7.5678033829
-2.5383496284,3.8037981987,-7.0070714951
-2.7937922478,3.7729275227,-6.4517812729
-3.0711097717,3.6717467308,-5.8912196159
-3.3640215397,3.5030190945,-5.3201079369
-3.667942524,3.2737567425,-4.7402720451
-3.9806640148,2.9922192097,-4.1605906487
-4.3020005226,2.6652929783,-3.5951030254
-4.6327576637,2.2975928783,-3.059992075
-4.973315239,1.8917012215,-2.5699527264
-5.3224110603,1.4487668276,-2.1347920895
-5.6764345169,0.97087329626,-1.7569606304
-6.0292344093,0.461240381,-1.430573225
-6.3724646568,-0.074746698141,-1.1421542168
-6.6963124275,-0.63010072708,-0.87295001745
