x,y,z
-2.4757742882,18.646034241,-6.3616948128
-2.8692927361,18.064243317,-6.1803097725
-3.3033480644,17.48402977,-5.9400906563
-3.7595732212,16.907663345,-5.663274765
-4.2197389603,16.337339401,-5.3722982407
-4.6662454605,15.77498436,-5.0901169777
-5.0829539299,15.221978188,-4.8403964043
-5.4567146301,14.678793907,-4.6471419334
-5.7790527344,14.144675255,-4.5330309868
-6.0476913452,13.617623329,-4.51638937
-6.2672691345,13.094453812,-4.6075348854
-6.4484205246,12.571094513,-4.8062148094
-6.6051154137,12.043074608,-5.1007456779
-6.7508339882,11.506062508,-5.4694638252
-6.8945746422,10.956628799,-5.884323597
-7.0378198624,10.393184662,-6.3156189919
-7.1736721992,9.8170690536,-6.7371144295
-7.2882409096,9.233417511,-7.1308641434
-7.3636465073,8.6512479782,-7.4906897545
-7.3817591667,8.0824012756,-7.8233346939
-7.3280100822,7.5394310951,-8.1464653015
-7.1945037842,7.0324978828,-8.4835920334
-6.9821791649,6.5660710335,-8.8565654755
-6.7014064789,6.1372485161,-9.2776126862
-6.3709025383,5.7363557816,-9.7433977127
-6.0153632164,5.3494906425,-10.232577324
-5.6623272896,4.9637618065,-10.70759201
-5.3386769295,4.571536541,-11.12041378
-5.0674624443,4.1736927032,-11.42113781
-4.8654909134,3.7813060284,-11.567372322
-4.7422785759,3.4134578705,-11.532122612
-4.7003908157,3.0938770771,-11.308653831
-4.736925602,2.8459460735,-10.911931992
-4.8459529877,2.6894438267,-10.375693321
-5.0209755898,2.6377587318,-9.7466812134
-5.2564811707,2.6983923912,-9.0776405334
-5.5480027199,2.8736026287,-8.419506073
-5.8905797005,3.1609678268,-7.8141007423
-6.2761054039,3.553476572,-7.2887268066
-6.6905593872,4.0388755798,-6.8533596992
-7.1123914719,4.5982446671,-6.5010223389
-7.5130639076,5.2064981461,-6.211016655
-7.8599104881,5.8316679001,-5.9542803764
-8.1208896637,6.4369864464,-5.6996974945
-8.2702493668,6.9830021858,-5.4202871323
-8.2939777374,7.4313840866,-5.0982751846
-8.1934165955,7.7491436005,-4.7280879021
-7.9861717224,7.9127731323,-4.3165931702
-7.7035355568,7.9102549553,-3.8804745674
-7.3849959373,7.7416348457,-3.4416232109
-7.0708603859,7.4185786247,-3.0218074322
-6.7948145866,6.9616589546,-2.6382706165
-6.5780897141,6.3979129791,-2.3014669418
-6.4269180298,5.7576475143,-2.0156106949
-6.3334741592,5.0703201294,-1.7813506126
-6.2798676491,4.3616528511,-1.5990989208
-6.243519783,3.651112318,-1.4712513685
-6.2024202347,2.9501018524,-1.4021188021
-6.1391544342,2.2630317211,-1.3954409361
-6.0430207253,1.5878616571,-1.4509202242
-5.9101271629,0.91906249523,-1.5612785816
-5.7421102524,0.24964079261,-1.7113234997
