x,y,z
-2.2613697052,17.751056671,-5.1072177887
-2.3101861477,17.008985519,-4.7356395721
-2.4991090298,16.376607895,-4.3193225861
-2.7974784374,15.829731941,-3.8956484795
-3.1744861603,15.344270706,-3.5010831356
-3.599293232,14.896564484,-3.1695277691
-4.042140007,14.464047432,-2.9298608303
-4.4766993523,14.026461601,-2.803034544
-4.8831338882,13.567385674,-2.7995717525
-5.2508440018,13.076025963,-2.9180381298
-5.578962326,12.54860878,-3.1456861496
-5.8745012283,11.989286423,-3.4614369869
-6.1478762627,11.410065651,-3.8409531116
-6.4071936607,10.829498291,-4.2625250816
-6.6534867287,10.270282745,-4.7115063667
-6.8785886765,9.7558736801,-5.1822295189
-7.0663905144,9.3065872192,-5.6768918037
-7.1970171928,8.9358549118,-6.2022538185
-7.2520060539,8.6475028992,-6.7657866478
-7.2188749313,8.4346389771,-7.3725762367
-7.0934653282,8.2806072235,-8.0236663818
-6.8802161217,8.1613922119,-8.7156143188
-6.5906414986,8.0490179062,-9.4406843185
-6.2411608696,7.9152398109,-10.187084198
-5.8508410454,7.7349243164,-10.938874245
-5.4397592545,7.4886755943,-11.675512314
-5.0278949738,7.1649684906,-12.371335983
-4.634437561,6.7611203194,-12.995751381
-4.2772827148,6.2829060555,-13.514603615
-3.9723668098,5.7446980476,-13.893339157
-3.7329037189,5.1672811508,-14.101790428
-3.5687317848,4.576584816,-14.119972229
-3.4860651493,4.0009775162,-13.943183899
-3.4876554012,3.4691367149,-13.585078239
-3.5734741688,3.0084004402,-13.077301025
-3.7412064075,2.6433694363,-12.465589523
-3.9864349365,2.3953576088,-11.802639008
-4.3020296097,2.281332016,-11.139522552
-4.6773538589,2.3119606972,-10.517827988
-5.0977754593,2.4894378185,-9.9637765884
-5.5452480316,2.8049767017,-9.4853858948
-5.9997644424,3.2382209301,-9.0730323792
-6.4413218498,3.7572731972,-8.7031545639
-6.8517351151,4.3220481873,-8.3443250656
-7.2154655457,4.8880662918,-7.9640274048
-7.5196847916,5.4120697975,-7.5355205536
-7.7535710335,5.8569955826,-7.0426859856
-7.9078402519,6.1954088211,-6.4823365211
-7.9750914574,6.4120388031,-5.8635210991
-7.9513897896,6.5029501915,-5.2041974068
-7.8382744789,6.4735655785,-4.5264463425
-7.6442637444,6.3354415894,-3.851569891
-7.3849749565,6.103053093,-3.1963868141
-7.0814523697,5.7908177376,-2.5714428425
-6.7572140694,5.4111776352,-1.9813779593
-6.4348216057,4.9739232063,-1.427094698
-6.1329779625,4.485619545,-0.90877205133
-5.8646759987,3.9504835606,-0.42867994308
-5.6361918449,3.37108922,0.0072329924442
-5.4471411705,2.7501273155,0.38942456245
-5.2914299965,2.0915067196,0.70597177744
-5.1586842537,1.4010913372,0.94460111856
-5.0362906456,0.68609040976,1.0950535536
-4.9111680984,-0.045568577945,1.1516174078
-4.7713088989,-0.786426723,1.1153835058
-4.6065545082,-1.5294562578,0.99575763941
-4.4086837769,-2.2687830925,0.81032067537
