x,y,z
1.1896234751,21.546787262,-6.4805994034
0.72060102224,21.252243042,-6.3001046181
0.22620363533,20.874980927,-6.1575407982
-0.27851751447,20.425426483,-6.0370850563
-0.77893924713,19.914049149,-5.9234695435
-1.2615966797,19.351680756,-5.8029079437
-1.7152183056,18.750101089,-5.6644983292
-2.1318154335,18.122936249,-5.5018630028
-2.5075347424,17.486291885,-5.3146739006
-2.8430008888,16.858715057,-5.1098456383
-3.1428730488,16.260038376,-4.902074337
-3.4147634506,15.708977699,-4.7132797241
-3.667788744,15.219860077,-4.5708494186
-3.9108490944,14.799492836,-4.504005909
-4.1511158943,14.44504261,-4.538567543
-4.3926916122,14.143710136,-4.6909604073
-4.636133194,13.874824524,-4.964015007
-4.8785085678,13.613768578,-5.3455443382
-5.1140289307,13.33656311,-5.8109054565
-5.3349890709,13.024055481,-6.3286213875
-5.5327591896,12.664726257,-6.866815567
-5.6990852356,12.255446434,-7.3990902901
-5.8273515701,11.800385475,-7.9082770348
-5.913441658,11.308596611,-8.387465477
-5.9556379318,10.791247368,-8.8384561539
-5.9538054466,10.257547379,-9.2685012817
-5.9084391594,9.7139148712,-9.6864442825
-5.8205375671,9.1618518829,-10.099081993
-5.6923799515,8.5983743668,-10.508494377
-5.528960228,8.0182876587,-10.910355568
-5.3392062187,7.4146571159,-11.2932024
-5.1363620758,6.7828774452,-11.639070511
-4.9370913506,6.1227264404,-11.925265312
-4.7593569756,5.4416460991,-12.127456665
-4.6195750237,4.7563319206,-12.223530769
-4.5300397873,4.0939011574,-12.197480202
-4.4975566864,3.4889645576,-12.042571068
-4.5232539177,2.9798872471,-11.763134956
-4.603497982,2.6028914452,-11.374694824
-4.7312254906,2.3861453533,-10.902020454
-4.8970532417,2.3443875313,-10.375300407
-5.0896744728,2.4760596752,-9.8250703812
-5.2957468033,2.7644352913,-9.276968956
-5.499751091,3.1781783104,-8.7477626801
-5.6845345497,3.6776292324,-8.2433109283
-5.8328819275,4.2185640335,-7.7590899467
-5.9301857948,4.7585296631,-7.2829418182
-5.9675421715,5.259727478,-6.7989645004
-5.9440169334,5.6913933754,-6.291727066
-5.8670921326,6.0307312012,-5.7500033379
-5.751139164,6.262597084,-5.1696166992
-5.6141176224,6.3781671524,-4.5548701286
-5.4738640785,6.3744931221,-3.9182832241
-5.3448801041,6.2528524399,-3.2787535191
-5.2362318039,6.0178394318,-2.6585726738
-5.1508264542,5.6770071983,-2.0796201229
-5.0860338211,5.2400245667,-1.5597543716
-5.0355830193,4.7193088531,-1.1101186275
-4.9920563698,4.1292538643,-0.73386353254
-4.9492845535,3.4848022461,-0.42657238245
-4.9037690163,2.8014359474,-0.17807707191
-4.8548164368,2.0928132534,0.024931712076
-4.8033838272,1.3704054356,0.19623053074
-4.7504386902,0.64305728674,0.34781461954
-4.6954269409,-0.082619316876,0.48869350553
-4.6356115341,-0.80304384232,0.62470012903
-4.5661592484,-1.5159444809,0.75901669264
