x,y,z
-3.8873958588,15.853591919,-5.5288825035
-3.8960485458,15.308131218,-5.9770083427
-4.0511455536,14.820421219,-6.2677230835
-4.3268442154,14.378898621,-6.433172226
-4.6975274086,13.972252846,-6.5056948662
-5.1383423805,13.589961052,-6.5180234909
-5.6259598732,13.223269463,-6.5031909943
-6.1392965317,12.866007805,-6.4936909676
-6.6596961021,12.515283585,-6.5196070671
-7.170668602,12.171397209,-6.6061501503
-7.657096386,11.837153435,-6.7712569237
-8.1044979095,11.516648293,-7.0238671303
-8.4986248016,11.214028358,-7.3634781837
-8.8256425858,10.932559013,-7.7809143066
-9.0730457306,10.674176216,-8.2601919174
-9.2308664322,10.439213753,-8.7812080383
-9.2928295135,10.225891113,-9.3226089478
-9.2573070526,10.029646873,-9.8645820618
-9.1278743744,9.8426113129,-10.391127586
-8.9134759903,9.6538991928,-10.89158535
-8.6279878616,9.4511060715,-11.360871315
-8.2891616821,9.2227687836,-11.798373222
-7.916967392,8.9608888626,-12.205686569
-7.5317754745,8.6626005173,-12.583350182
-7.1526713371,8.3305063248,-12.927536011
-6.7962474823,7.9715943336,-13.227899551
-6.4759597778,7.5957045555,-13.467368126
-6.2020058632,7.2141690254,-13.62449646
-5.9816484451,6.839302063,-13.678151131
-5.8194584846,6.4843440056,-13.61262989
-5.7176651955,6.1631360054,-13.421321869
-5.6757521629,5.8888697624,-13.109130859
-5.6901526451,5.6717619896,-12.691425323
-5.754034996,5.5167713165,-12.190690994
-5.8577070236,5.4222221375,-11.632385254
-5.9894914627,5.3789567947,-11.040990829
-6.1371331215,5.3724346161,-10.436973572
-6.2895011902,5.3841366768,-9.8353013992
-6.4383912086,5.3948864937,-9.245265007
-6.5797343254,5.3863587379,-8.6712636948
-6.7136173248,5.3441095352,-8.1142692566
-6.8428630829,5.2587609291,-7.5729413033
-6.9707393646,5.1274700165,-7.0446376801
-7.0985116959,4.9528512955,-6.5257673264
-7.2238578796,4.7421855927,-6.0121126175
-7.3407239914,4.5040440559,-5.4990959167
-7.4408316612,4.2463746071,-4.9823980331
-7.5161304474,3.9747059345,-4.4588651657
-7.5610189438,3.691215992,-3.9275238514
-7.5734205246,3.394841671,-3.3903698921
-7.5544252396,3.0816123486,-2.8526935577
-7.5069355965,2.7461411953,-2.3228273392
-7.4341778755,2.3825604916,-1.81110394
-7.3387918472,1.9860882759,-1.3285707235
-7.2225356102,1.5538432598,-0.88538050652
-7.0865507126,1.0856127739,-0.48936119676
-6.9316005707,0.58375525475,-0.14489100873
-6.758040905,0.053645968437,0.14781871438
-6.5654802322,-0.49704113603,0.39292275906
-6.3523192406,-1.0587213039,0.59854567051
-6.1156144142,-1.6210851669,0.77578192949
