x,y,z
-0.64700311422000001,17.915075302000002,-1.1418429613000001
-0.91806219358289076,17.537005100909049,-1.421928057902432
-1.1834848130723106,17.131837583297436,-1.6633036688654872
-1.443362371072491,16.698971935198188,-1.8615242408551025
-1.6993070674838573,16.24040870554791,-1.9996178308164172
-1.9593813051087965,15.773557048999852,-2.0924273449081991
-2.2277789253634932,15.305987201482525,-2.1526511469519392
-2.5082339200605972,14.842223960508639,-2.184238061187374
-2.8149791140656228,14.394180344746839,-2.1889356272293057
-3.1492104197939268,13.966735154352554,-2.1858741233118839
-3.5106314407499055,13.562442571188988,-2.1844882346086183
-3.9007415857836514,13.185534802564604,-2.1931548195491133
-4.3243715201341146,12.847722357202512,-2.2289066485584188
-4.7731934520465318,12.553743065023832,-2.3080606889710489
-5.2340623452354951,12.29805585249297,-2.4320557762899293
-5.6987345836106034,12.079482597855323,-2.6041169343756843
-6.1592083159735544,11.895355050675501,-2.8249725127716108
-6.5977072065074118,11.750283458396467,-3.1105083580012569
-7.0121149525879876,11.624256572881489,-3.4362938613951273
-7.4022227889743721,11.51099431737698,-3.795376317054362
-7.7654542050945015,11.406528920808839,-4.1852579427563583
-8.0877023979796192,11.302038284252511,-4.6094738073402759
-8.3842265145412291,11.191027928269234,-5.0498614022597907
-8.6550130139654851,11.071541064590191,-5.5047468022486346
-8.8888831697127859,10.933727285411527,-5.9750338160136698
-9.0889132256781462,10.774380307673697,-6.4534908846089971
-9.2594491694674268,10.595611357633272,-6.9362292947148028
-9.3981862721819045,10.395700462203608,-7.4214459424864172
-9.4893662521617568,10.166863413995653,-7.9053649227043339
-9.5394192214181963,9.9183530582089308,-8.3848737140587293
-9.5495740954232655,9.6550119357264084,-8.8586959013322542
-9.5185529216579159,9.3802756628005621,-9.3254432289073925
-9.4417007479578547,9.0979594208982881,-9.782880706331964
-9.3129646794351846,8.8135563975563844,-10.226910462815011
-9.1464254563061989,8.5303766136582837,-10.658420893277748
-8.9452424566043174,8.2491545338969701,-11.076377614048372
-8.7109231768548252,7.9704396613220672,-11.479205440470579
-8.4356456787027216,7.6944020768330725,-11.85707217219019
-8.1376728297044014,7.4188620230231903,-12.217051744844419
-7.8192816401686658,7.1433473737431976,-12.559586536749146
-7.4724983910606007,6.8659386989323572,-12.872066245009622
-7.1066721149304541,6.5851754865778105,-13.157804646879695
-6.7261783149276138,6.3012515911761398,-13.420452001273404
-6.3249715354477685,6.0112752774223095,-13.643621489237049
-5.9070596644642279,5.7144384764299883,-13.820430566128621
-5.4774857039980747,5.4123398100050926,-13.95264600137136
-5.0368389492868175,5.1048694049513808,-14.027221260518285
-4.5911580684416533,4.7956521425494172,-14.002502848786994
-4.1604333416629364,4.4982232990834996,-13.865784209550062
-3.7717908126694359,4.2323806952922576,-13.603980815032171
-3.4572683616214599,4.0216728247086575,-13.221956200414548
-3.2333633128850852,3.8776940807973359,-12.753846119880901
-3.0930574944303739,3.7937070432602509,-12.239263583655305
-3.0192922550360874,3.7551711334982025,-11.704230354774918
-2.9968864399825317,3.7491980017459392,-11.161986497881943
-3.0253934687556296,3.7697500774741997,-10.620116841700129
-3.0873443470781177,3.8007525204450077,-10.081900799823137
-3.174978877219508,3.8348873471826752,-9.5474058899989558
-3.2862980934726527,3.8676273446891853,-9.0170383811701065
-3.4262010617851457,3.8880067024952303,-8.492758299506141
-3.5892193066583236,3.8869825738410517,-7.9750681326572348
-3.7733604040048827,3.8597742515596165,-7.4655814817995347
-3.9794704575616819,3.7998364258014283,-6.9675241335265019
-4.2080813948819502,3.7014443123946505,-6.4851889585947031
-4.4624504375069556,3.5546779837577818,-6.0284463639866512
-4.7375143459408804,3.3659595953591208,-5.6005715773703271
-5.0273613459048763,3.1435833055041895,-5.1998084165632283
-5.3275040455988814,2.8923767372623246,-4.8241547733327446
-5.6337461815671404,2.6165964832352762,-4.4707460499354799
-5.9402916962417374,2.3139529020997056,-4.1401489038087638
-6.2396726511078153,1.9914391947960215,-3.8222838331935467
-6.528797755691337,1.6529906839938824,-3.5116571194656143
-6.8049481628321047,1.2997198977439091,-3.2055615797441885
-7.0579051168154425,0.92861091844818133,-2.900358913120253
-7.2866508667594205,0.54468128168660268,-2.5922992459502447
-7.4933562702216427,0.15136370762375445,-2.2807119194858116
-7.6773548306834831,-0.25016428373217059,-1.9649931467195587
-7.8276824004669905,-0.66069792682028683,-1.6429349028371969
-7.9510123358404039,-1.0764311221998561,-1.3165834218593404
-8.0496250061751145,-1.4962552231440229,-0.98718231621297503
-8.1221237834895668,-1.9198576916617736,-0.65527474059834123
-8.1517510142139677,-2.3480153725966977,-0.32268941405233603
-8.1508594268179433,-2.7780200237100017,0.0080181098341272905
-8.1179081362102288,-3.2090697913927277,0.33578936866722142
-8.042330446686659,-3.6397158295117622,0.65779832117547155
-7.915186063493473,-4.0650665687988408,0.9697337902950125
-7.7475196082924382,-4.4824600561035499,1.2720579354822215
-7.537921301916767,-4.8891141628616364,1.5634046012704939
-7.2737500273916869,-5.2758615548315948,1.8381731499019442
-6.9585653386479613,-5.6353956804554368,2.0940049885662551
-6.6048510340913245,-5.968877347145658,2.3331194489186409
-6.2153724098436269,-6.2743075059922209,2.5549570025331185
-5.7870571619048308,-6.5418461404403097,2.7545237589270277
-5.3296488411170442,-6.7723698497603166,2.9331663566221962
-4.8542786593554998,-6.9757333936536137,3.0969336929927018
-4.3640081010908389,-7.1539538497830364,3.2472373881845207
-3.8583861718034234,-7.2996577333331469,3.3813067946085527
-3.3454161801767905,-7.4251815020206271,3.5066636540739111
-2.8271354544179292,-7.5343904880628045,3.6256678635819353
-2.3037391875698181,-7.624904302829993,3.7384568700610976
-1.7761474710716367,-7.6942530176785606,3.846213887323843
-1.2462158201338098,-7.7480368980572463,3.9508358709051548
-0.71412761241572986,-7.7854618706461149,4.0523372996688787
-0.17962059038593403,-7.7920603043735372,4.147817490651045
0.35524770455476501,-7.7743242046446355,4.2379196908148078
0.88962584900406827,-7.7319045646029192,4.3223599504533254
1.422145858280125,-7.6588763774704329,4.3994773051899516
1.9490513031951633,-7.547603514840846,4.4679093339075937
2.4704372251069939,-7.4116862283138847,4.5324016855550138
2.9858723212399161,-7.2531384978529321,4.5948815438016881
3.4934556853600438,-7.0713628029713043,4.6594918217425727
3.9939307197414502,-6.8753586863953657,4.736244509480505
4.4896123843160316,-6.6748790355866179,4.8297944665348069
4.9805426441535952,-6.4748541058795652,4.9460499983474708
5.4661208852463705,-6.2827639103057562,5.0949556441050037
5.9420137849203556,-6.1116217453129815,5.292314501974853
6.4062293202788316,-5.9621163457460487,5.5294662267983172
6.85647567949189,-5.8343918183090429,5.8033946644201366
7.2921378126559819,-5.7258016920721015,6.1082431980806318
7.7142071724000001,-5.6317310333000004,6.4366726874999998
