x,y,z
-0.46059843898,17.244726181,-9.7445764542
-0.84987437725,16.785234451,-9.5787477493
-1.2553625107,16.324672699,-9.4070940018
-1.6766952276,15.866601944,-9.2355623245
-2.1134645939,15.414628029,-9.0700445175
-2.5652089119,14.972514153,-8.9162378311
-3.0312759876,14.544156075,-8.7794075012
-3.5105571747,14.133555412,-8.6640739441
-4.0009217262,13.744130135,-8.5736818314
-4.4983072281,13.37757206,-8.5105638504
-4.9956564903,13.032169342,-8.4760255814
-5.4821476936,12.701334,-8.4707155228
-5.9434366226,12.373298645,-8.4949502945
-6.363137722,12.032430649,-8.5490026474
-6.7254238129,11.662335396,-8.6330909729
-7.017911911,11.24966526,-8.747385025
-7.233455658,10.787312508,-8.8920888901
-7.370619297,10.276137352,-9.0676651001
-7.4325137138,9.7248134613,-9.2751369476
-7.4247312546,9.1477231979,-9.516125679
-7.3534312248,8.5620708466,-9.7924385071
-7.22423172,7.9847536087,-10.105092049
-7.0422878265,7.4298233986,-10.452879906
-6.8133978844,6.9068613052,-10.830695152
-6.5455827713,6.4204816818,-11.227931976
-6.2504816055,5.9711022377,-11.627259254
-5.9436683655,5.5564818382,-12.004466057
-5.6434426308,5.1740903854,-12.32964325
-5.3680825233,4.8237805367,-12.570072174
-5.1324982643,4.5098657608,-12.694769859
-4.945453167,4.2414236069,-12.68025589
-4.8082537651,4.0308661461,-12.515695572
-4.7155404091,3.891700983,-12.20539856
-4.6570620537,3.8350446224,-11.768847466
-4.6203026772,3.8665177822,-11.237163544
-4.5932011604,3.9846770763,-10.647233009
-4.5662918091,4.1808133125,-10.035094261
-4.5340104103,4.4400854111,-9.430264473
-4.4950375557,4.7431874275,-8.8520355225
-4.4516777992,5.0690932274,-8.3081502914
-4.4083366394,5.3967180252,-7.7959442139
-4.3693027496,5.7068166733,-7.3054084778
-4.3364238739,5.9827394485,-6.8233370781
-4.3079514503,6.2098584175,-6.337621212
-4.2789068222,6.3753919601,-5.840988636
-4.2428517342,6.4671711922,-5.3334031105
-4.1942949295,6.4744615555,-4.8227443695
-4.130531311,6.3885378838,-4.3238272667
-4.0524101257,6.2049779892,-3.8552510738
-3.9641811848,5.923892498,-3.434967041
-3.8725736141,5.551651001,-3.075397253
-3.7857625484,5.1000142097,-2.7796347141
-3.7124047279,4.5855169296,-2.5400876999
-3.6607100964,4.0272536278,-2.3400168419
-3.6376142502,3.4442634583,-2.1577837467
-3.647967577,2.852848053,-1.972465992
-3.6939253807,2.2646586895,-1.7688616514
-3.7745730877,1.6855114698,-1.5405908823
-3.8858253956,1.1157743931,-1.2904404402
-4.0204458237,0.55204725266,-1.0283000469
