x,y,z
-4.3596696854,15.007044792,-1.7710397243
-4.3775629997,14.903038979,-1.1880505085
-4.5075831413,14.68751812,-0.79321283102
-4.7113351822,14.385340691,-0.57318890095
-4.95160532,14.02147007,-0.51428163052
-5.194507122,13.620840073,-0.60194754601
-5.4124941826,13.207710266,-0.82028412819
-5.587346077,12.804151535,-1.1517049074
-5.7119908333,12.428276062,-1.5770821571
-5.7902169228,12.09278965,-2.0763053894
-5.834192276,11.804384232,-2.6292750835
-5.8597755432,11.564248085,-3.2170639038
-5.8808927536,11.369369507,-3.8229081631
-5.9045658112,11.214307785,-4.4329218864
-5.9280977249,11.092912674,-5.0364975929
-5.9395904541,10.99950695,-5.6263623238
-5.9215750694,10.928897858,-6.1983032227
-5.8566436768,10.87551403,-6.7507238388
-5.7327799797,10.831992149,-7.2841339111
-5.5468549728,10.787887573,-7.8006100655
-5.3052816391,10.7293396,-8.3033695221
-5.0221223831,10.639967918,-8.7962713242
-4.7154960632,10.503081322,-9.2831897736
-4.4037923813,10.304933548,-9.7671642303
-4.1028251648,10.03752327,-10.249403
-3.8244841099,9.7005367279,-10.728045464
-3.5766198635,9.3017892838,-11.196775436
-3.3638961315,8.8559103012,-11.643882751
-3.1887025833,8.3822402954,-12.052113533
-3.0519938469,7.902235508,-12.399619102
-2.9538636208,7.4370470047,-12.66249752
-2.8943247795,7.0054712296,-12.818389893
-2.8742125034,6.6223549843,-12.850972176
-2.8959963322,6.2979717255,-12.753101349
-2.9636831284,6.038131237,-12.529371262
-3.0815503597,5.8451857567,-12.194760323
-3.2520239353,5.7189865112,-11.772335052
-3.4736971855,5.6571350098,-11.288323402
-3.7401690483,5.6542725563,-10.767765999
-4.0398674011,5.7014694214,-10.231060982
-4.3568730354,5.7862563133,-9.6916923523
-4.6726107597,5.8938379288,-9.1558017731
-4.9681868553,6.0089740753,-8.6233739853
-5.2270226479,6.1176834106,-8.0906457901
-5.4372096062,6.2077155113,-7.5528998375
-5.5930700302,6.2680330276,-7.0071821213
-5.6953573227,6.2874498367,-6.4541397095
-5.7500653267,6.2539086342,-5.8985710144
-5.7664823532,6.1549968719,-5.3487710953
-5.7549557686,5.9800300598,-4.8148536682
-5.7251777649,5.7225861549,-4.3066210747
-5.6846523285,5.3827009201,-3.8314535618
-5.6377243996,4.9674539566,-3.3928368092
-5.5852022171,4.4901280403,-2.9898605347
-5.5248370171,3.9678807259,-2.6177356243
-5.4526910782,3.4186775684,-2.2692012787
-5.365128994,2.8589117527,-1.936139822
-5.2608566284,2.3007104397,-1.6113088131
-5.1423339844,1.7505977154,-1.2896406651
-5.0159111023,1.2100104094,-0.96900224686
-4.8905329704,0.67552137375,-0.65032684803
-4.7753911018,0.14089240134,-0.33717957139
-4.6772899628,-0.40109995008,-0.034834202379
