x,y,z
-3.5486052036,17.119974136,-4.7794280052
-4.0731368065,16.408578873,-5.020430088
-4.6234369278,15.75481987,-5.1134114265
-5.184117794,15.156769753,-5.1065454483
-5.7395634651,14.6118927,-5.0477194786
-6.274228096,14.116210938,-4.9835028648
-6.773206234,13.663149834,-4.9567513466
-7.2234454155,13.242688179,-5.0032076836
-7.6147260666,12.841257095,-5.1480073929
-7.9395799637,12.443131447,-5.4035906792
-8.1920070648,12.033461571,-5.7698426247
-8.3659753799,11.602160454,-6.2357158661
-8.454574585,11.146864891,-6.7820343971
-8.4506149292,10.673135757,-7.3849363327
-8.3479728699,10.191856384,-8.0191001892
-8.1430606842,9.7149925232,-8.6603269577
-7.8358860016,9.251326561,-9.2877826691
-7.4309387207,8.8038482666,-9.8859405518
-6.937687397,8.3694181442,-10.445863724
-6.3708677292,7.9404125214,-10.965297699
-5.7502760887,7.5075154305,-11.446921349
-5.0994968414,7.0625286102,-11.894612312
-4.4442334175,6.6007208824,-12.308692932
-3.8099443913,6.1221551895,-12.681753159
-3.2198150158,5.6320018768,-12.996519089
-2.6931579113,5.1404352188,-13.227091789
-2.244828701,4.6612615585,-13.343836784
-1.8856321573,4.2107458115,-13.320640564
-1.6234977245,3.8052434921,-13.142196655
-1.464730382,3.4581408501,-12.808567047
-1.4144836664,3.1773118973,-12.335978508
-1.4762744904,2.963344574,-11.753369331
-1.6511510611,2.8105089664,-11.097061157
-1.9364118576,2.7112908363,-10.404994011
-2.3249454498,2.6609151363,-9.7118825912
-2.8045990467,2.6610298157,-9.0454845428
-3.3581058979,2.7205939293,-8.4241857529
-3.9636628628,2.8534872532,-7.8559966087
-4.5963969231,3.0746908188,-7.3390126228
-5.2303681374,3.3959486485,-6.8629817963
-5.840692997,3.8217880726,-6.4118189812
-6.4054841995,4.3467302322,-5.9665660858
-6.9071054459,4.9536991119,-5.5084543228
-7.3327083588,5.6133265495,-5.0219006538
-7.6742830276,6.2858166695,-4.4970860481
-7.9279346466,6.9237995148,-3.9316048622
-8.0927505493,7.4776687622,-3.3307638168
-8.1694536209,7.9015827179,-2.706230402
-8.1593236923,8.1605443954,-2.0729980469
-8.0635938644,8.2361516953,-1.4454410076
-7.8835573196,8.1299962997,-0.8336198926
-7.6211938858,7.8634152412,-0.24100242555
-7.2805905342,7.4737186432,0.33528581262
-6.8696584702,7.0071220398,0.90121203661
