x,y,z
-1.3287175894,17.71746254,-3.5132246017
-1.5573118925,17.239099503,-3.886121273
-1.8896555901,16.821495056,-4.2163944244
-2.3058547974,16.45031929,-4.4990811348
-2.7860643864,16.111513138,-4.7295794487
-3.3106911182,15.791807175,-4.9044466019
-3.8607394695,15.479714394,-5.0228466988
-4.4182143211,15.166752815,-5.0884518623
-4.9666361809,14.848457336,-5.1112499237
-5.4915499687,14.524940491,-5.1085953712
-5.9810390472,14.200448036,-5.1045837402
-6.4262385368,13.881863594,-5.1274871826
-6.8217315674,13.576395988,-5.2054386139
-7.1657633781,13.289278984,-5.3612604141
-7.4598989487,13.022037506,-5.6082844734
-7.7080030441,12.772257805,-5.9483032227
-7.9145331383,12.534597397,-6.3720269203
-8.0824432373,12.302606583,-6.861726284
-8.2114524841,12.070531845,-7.3955922127
-8.2973451614,11.834253311,-7.9520859718
-8.3328905106,11.591057777,-8.5132875443
-8.310177803,11.338663101,-9.0667266846
-8.2236795425,11.073856354,-9.6054563522
-8.0727939606,10.791722298,-10.126893044
-7.8632259369,10.485711098,-10.630514145
-7.6067471504,10.148972511,-11.11530304
-7.3195796013,9.776465416,-11.57713604
-7.0199933052,9.3673000336,-12.006825447
-6.7259273529,8.9263763428,-12.389433861
-6.4531664848,8.4647865295,-12.705030441
-6.214454174,7.9988379478,-12.931224823
-6.0193619728,7.5478520393,-13.046929359
-5.87479496,7.1307926178,-13.036750793
-5.7855730057,6.7633981705,-12.894741058
-5.754652977,6.4549350739,-12.62639904
-5.7828478813,6.2068104744,-12.248085976
-5.86805439,6.0125494003,-11.784060478
-6.0044231415,5.858320713,-11.262245178
-6.181687355,5.7252249718,-10.709807396
-6.3852143288,5.5927348137,-10.149573326
-6.596558094,5.4425354004,-9.597694397
-6.7948627472,5.2621927261,-9.0631504059
-6.9591674805,5.0471892357,-8.548620224
-7.0708928108,4.8003902435,-8.0522785187
-7.1161389351,4.5299973488,-7.5701766014
-7.0873913765,4.2454323769,-7.0982675552
-6.9843811989,3.9543762207,-6.6337213516
-6.8143792152,3.6599779129,-6.1754560471
-6.5915522575,3.3606727123,-5.7238845825
-6.335308075,3.0514686108,-5.2801661491
-6.0674257278,2.7259495258,-4.845413208
-5.8086543083,2.3788778782,-4.4203047752
-5.5754394531,2.007776022,-4.005156517
-5.3775682449,1.612806201,-3.6004428864
-5.2172651291,1.1970169544,-3.2073526382
-5.0900673866,0.76415753365,-2.8281133175
-4.9871554375,0.31801018119,-2.4658205509
-4.8982930183,-0.13900633156,-2.1236257553
-4.814139843,-0.6056420207,-1.8034658432
-4.7273626328,-1.0813779831,-1.5045883656
-4.6323800087,-1.5648595095,-1.2226214409
-4.5246109962,-2.0534727573,-0.94971895218
-4.3999609947,-2.5431187153,-0.67594891787
