x,y,z
-0.95428174734,17.381883621,-8.6389331818
-1.2649484873,16.713251114,-8.2383899689
-1.5955722332,16.084106445,-7.9381475449
-1.9500221014,15.49199295,-7.7331337929
-2.3319957256,14.934308052,-7.617916584
-2.7445156574,14.407972336,-7.5861253738
-3.1892402172,13.909070015,-7.62971735
-3.6655097008,13.432522774,-7.7387528419
-4.1693735123,12.972249031,-7.9020690918
-4.6929302216,12.521661758,-8.1089382172
-5.2240195274,12.074620247,-8.3511333466
-5.7465248108,11.626479149,-8.6244564056
-6.2413825989,11.174901009,-8.929107666
-6.6880903244,10.720384598,-9.2687911987
-7.0667338371,10.266183853,-9.6489191055
-7.3599643707,9.8175735474,-10.074419022
-7.5545754433,9.3805160522,-10.547661781
-7.6424202919,8.9597091675,-11.066837311
-7.6207695007,8.5565547943,-11.624751091
-7.4922151566,8.1676597595,-12.208387375
-7.2647666931,7.7842335701,-12.799118996
-6.9521775246,7.3931894302,-13.373708725
-6.5743708611,6.9795069695,-13.905883789
-6.1573324203,6.5300011635,-14.368407249
-5.7320203781,6.0371661186,-14.735557556
-5.3321752548,5.5027470589,-14.985797882
-4.9910593033,4.9400138855,-15.10428524
-4.7375197411,4.3735489845,-15.084728241
-4.5921630859,3.8367321491,-14.930060387
-4.5644850731,3.3664636612,-14.651574135
-4.6514191628,2.9965786934,-14.266893387
-4.8381357193,2.7512090206,-13.797011375
-5.1005167961,2.6401073933,-13.263407707
-5.4092431068,2.6566662788,-12.685657501
-5.7344636917,2.7804365158,-12.079922676
-6.0499176979,2.9826061726,-11.458491325
-6.3358817101,3.2331049442,-10.830133438
-6.5804209709,3.5070419312,-10.200659752
-6.7791776657,3.7887330055,-9.5735521317
-6.9339823723,4.0726566315,-8.9503936768
-7.0509648323,4.361222744,-8.3311061859
-7.1385741234,4.6599702835,-7.7144708633
-7.2059788704,4.972984314,-7.0990610123
-7.2619094849,5.298989296,-6.484711647
-7.3135786057,5.6292128563,-5.8742752075
-7.3657660484,5.9468212128,-5.2749595642
-7.4201722145,6.2283682823,-4.69845438
-7.4750199318,6.4459724426,-4.1595773697
-7.524851799,6.5709238052,-3.673248291
-7.5610184669,6.5782876015,-3.2506976128
-7.57310009,6.4513759613,-2.8957777023
-7.5512404442,6.1861124039,-2.6031517982
-7.488366127,5.7912993431,-2.3592782021
-7.3815164566,5.2871937752,-2.1455037594
-7.2320289612,4.7014484406,-1.9427381754
-7.0447149277,4.0633687973,-1.7360497713
-6.8270277977,3.398526907,-1.5174924135
-6.588332653,2.7257912159,-1.286529541
-6.3394160271,2.056188345,-1.0482288599
-6.0917391777,1.3933013678,-0.81053197384
-5.8561267853,0.73579543829,-0.58159607649
-5.6411905289,0.079868644476,-0.36759892106
