x,y,z
-4.2603211403,16.810583115,-9.7562141418
-4.4754395485,16.324993134,-9.6385126114
-4.7651305199,15.84414959,-9.5065670013
-5.1113519669,15.366977692,-9.3661603928
-5.4959421158,14.892428398,-9.2231616974
-5.9005026817,14.419451714,-9.0836868286
-6.3062853813,13.947125435,-8.9543457031
-6.694463253,13.474686623,-8.8424768448
-7.0467939377,13.001609802,-8.7561817169
-7.3469085693,12.52763176,-8.7040376663
-7.5819272995,12.052700996,-8.6943998337
-7.7442307472,11.57679081,-8.7344694138
-7.8326478004,11.099756241,-8.8293552399
-7.8527488708,10.621091843,-8.9815263748
-7.8159852028,10.140081406,-9.1906890869
-7.7377271652,9.6560754776,-9.4541187286
-7.6350250244,9.1688804626,-9.7668104172
-7.5242156982,8.6790218353,-10.121170044
-7.4189367294,8.1876983643,-10.506198883
-7.3290214539,7.6966671944,-10.906452179
-7.2604608536,7.2082185745,-11.3014431
-7.2162322998,6.7253990173,-11.666044235
-7.1977601051,6.2522945404,-11.972432137
-7.2064170837,5.7950501442,-12.193444252
-7.2445249557,5.3621864319,-12.306830406
-7.3157973289,4.9646272659,-12.299141884
-7.4249091148,4.6147861481,-12.168107033
-7.5763597488,4.3247919083,-11.922633171
-7.7729616165,4.104054451,-11.580696106
-8.0143156052,3.9565558434,-11.16527462
-8.2955169678,3.8803551197,-10.700001717
-8.6065645218,3.8671283722,-10.205442429
-8.9326238632,3.9046118259,-9.6968860626
-9.2549333572,3.9777626991,-9.1839637756
-9.5522146225,4.0712108612,-8.6720209122
-9.8024015427,4.1695289612,-8.164390564
-9.9842815399,4.2574763298,-7.664659977
-10.079685211,4.3198795319,-7.1781096458
-10.075741768,4.3422427177,-6.7121319771
-9.9669570923,4.3118686676,-6.2752151489
-9.7563838959,4.2197237015,-5.8752169609
-9.455493927,4.0612559319,-5.5173230171
-9.0824861526,3.8374950886,-5.2025904655
-8.6595869064,3.5543212891,-4.9273877144
-8.2099351883,3.220969677,-4.6840004921
-7.7546463013,2.8484475613,-4.462076664
-7.310561657,2.4479000568,-4.2505273819
-6.8891892433,2.0287964344,-4.0393967628
-6.4967050552,1.5983308554,-3.8212227821
-6.1349611282,1.1610622406,-3.591889143
-5.8030648232,0.71825832129,-3.3507454395
-5.4991321564,0.26879140735,-3.1002075672
-5.2217040062,-0.19049926102,-2.8448863029
-4.9704904556,-0.66422849894,-2.5904700756
-4.7463731766,-1.1565520763,-2.3424887657
-4.5506339073,-1.670771718,-2.1051552296
-4.3836359978,-2.207308054,-1.8803702593
-4.2433080673,-2.7630105019,-1.667244792
