x,y,z
-0.9863935113,20.727256775,-5.843413353
-1.6446139812,20.290498734,-5.3393764496
-2.2065725327,19.80150795,-4.9306592941
-2.6881656647,19.273298264,-4.6264696121
-3.1051557064,18.718799591,-4.4355740547
-3.4727711678,18.150575638,-4.3653659821
-3.8048810959,17.580354691,-4.4204010963
-4.1129508018,17.018486023,-4.6007938385
-4.4049844742,16.473457336,-4.9010028839
-4.6847758293,15.951594353,-5.3093557358
-4.9517807961,15.457052231,-5.8086571693
-5.2015380859,14.992071152,-6.3779811859
-5.4264440536,14.557281494,-6.9950499535
-5.6168093681,14.152004242,-7.6387481689
-5.7621574402,13.774512291,-8.2914352417
-5.852833271,13.422229767,-8.9404449463
-5.8814616203,13.091859818,-9.5789909363
-5.8441324234,12.779366493,-10.206003189
-5.741065979,12.479750633,-10.82499218
-5.5767974854,12.186513901,-11.441821098
-5.35993433,11.890911102,-12.061518669
-5.1023569107,11.581606865,-12.685007095
-4.8180994987,11.24547863,-13.306276321
-4.52227211,10.869540215,-13.910739899
-4.2302360535,10.443741798,-14.475464821
-3.9571070671,9.963845253,-14.971087456
-3.7173411846,9.4333972931,-15.365320206
-3.5239524841,8.8645439148,-15.627502441
-3.3873660564,8.2776403427,-15.733446121
-3.314278841,7.699201107,-15.669514656
-3.3068466187,7.1590189934,-15.435272217
-3.3624484539,6.6868915558,-15.043976784
-3.474173069,6.3090872765,-14.520518303
-3.6317691803,6.046145916,-13.897724152
-3.8226056099,5.9111499786,-13.211634636
-4.0327591896,5.9091234207,-12.496739388
-4.2479872704,6.0364365578,-11.781840324
-4.4544210434,6.2824654579,-11.087465286
-4.6392183304,6.6303215027,-10.424674988
-4.7912974358,7.0583848953,-9.7954540253
-4.9021916389,7.5419077873,-9.1944284439
-4.9668288231,8.054066658,-8.6113653183
-4.9840912819,8.5671958923,-8.0341329575
-4.9571595192,9.0539779663,-7.4516553879
-4.8934850693,9.4894733429,-6.8562779427
-4.8044223785,9.85268116,-6.2451434135
-4.7045021057,10.127352715,-5.6203918457
-4.6102571487,10.303013802,-4.9882326126
-4.5386967659,10.374860764,-4.3574790955
-4.5053787231,10.342835426,-3.7380206585
-4.5220828056,10.210496902,-3.1396846771
-4.5946149826,9.9838523865,-2.5716831684
-4.7215366364,9.6704320908,-2.0425753593
-4.8944029808,9.2789392471,-1.5606330633
-5.099668026,8.8194675446,-1.1344571114
-5.3218336105,8.3037424088,-0.7733989954
-5.5469145775,7.7440052032,-0.48727238178
-5.764878273,7.1520581245,-0.28510344028
-5.9705767632,6.5380949974,-0.17271547019
-6.1630291939,5.9093966484,-0.15006043017
-6.3435845375,5.2699918747,-0.20928637683
-6.5139217377,4.6206431389,-0.33489575982
-6.6744828224,3.9595153332,-0.50579470396
-6.823694706,3.2834711075,-0.69881284237
-6.9580488205,2.5890386105,-0.89292675257
-7.0727157593,1.8732658625,-1.0722817183
